id,Datum,Z1,Z2,Z3,Z4,Z5,EZ1,EZ2
1,2012-03-23,5,46,37,21,8,8,6
2,2012-03-30,19,5,7,12,26,1,5
3,2012-04-06,36,38,34,8,7,5,4
4,2012-04-13,12,27,32,5,11,3,1
5,2012-04-20,30,16,45,41,10,2,8
6,2012-04-27,40,13,10,19,45,3,5
7,2012-05-04,29,45,41,35,30,5,3
8,2012-05-11,38,21,39,47,15,1,5
9,2012-05-18,46,43,12,44,18,5,4
10,2012-05-25,32,11,41,26,4,5,7
11,2012-06-01,34,38,28,37,11,3,7
12,2012-06-08,44,36,10,16,15,7,8
13,2012-06-15,17,6,10,42,18,3,1
14,2012-06-22,14,49,16,47,13,1,7
15,2012-06-29,8,5,19,36,33,2,3
16,2012-07-06,38,22,24,10,33,6,2
17,2012-07-13,12,8,31,27,37,6,3
18,2012-07-20,9,13,25,6,14,8,1
19,2012-07-27,9,34,35,23,22,1,3
20,2012-08-03,12,25,24,18,15,4,5
21,2012-08-10,40,46,48,6,11,3,6
22,2012-08-17,34,35,3,30,16,2,5
23,2012-08-24,49,20,9,21,33,7,5
24,2012-08-31,40,28,8,42,22,8,4
25,2012-09-07,15,23,25,46,49,2,4
26,2012-09-14,14,15,47,10,24,4,8
27,2012-09-21,41,49,29,44,18,5,1
28,2012-09-28,5,14,16,39,34,6,1
29,2012-10-05,26,28,49,40,50,7,2
30,2012-10-12,43,6,49,17,11,4,8
31,2012-10-19,18,14,6,48,19,8,3
32,2012-10-26,19,22,7,18,17,5,4
33,2012-11-02,12,5,7,31,3,5,7
34,2012-11-09,44,29,38,41,25,8,3
35,2012-11-16,4,1,21,26,7,4,7
36,2012-11-23,50,1,21,32,36,2,5
37,2012-11-30,21,2,24,13,37,6,7
38,2012-12-07,42,20,13,22,27,5,3
39,2012-12-14,31,35,17,28,39,5,8
40,2012-12-21,11,24,20,25,35,4,8
41,2012-12-28,39,32,8,5,22,8,7
42,2013-01-04,45,6,40,20,29,5,8
