sum,frequency,probability
36,1,0.001142857142857143
43,1,0.001142857142857143
46,1,0.001142857142857143
54,1,0.001142857142857143
56,1,0.001142857142857143
57,1,0.001142857142857143
58,3,0.0034285714285714284
59,3,0.0034285714285714284
60,4,0.004571428571428572
61,3,0.0034285714285714284
62,1,0.001142857142857143
63,1,0.001142857142857143
64,4,0.004571428571428572
65,4,0.004571428571428572
67,5,0.005714285714285714
68,1,0.001142857142857143
69,3,0.0034285714285714284
70,1,0.001142857142857143
73,2,0.002285714285714286
75,4,0.004571428571428572
76,1,0.001142857142857143
77,3,0.0034285714285714284
79,3,0.0034285714285714284
80,10,0.011428571428571429
81,4,0.004571428571428572
82,6,0.006857142857142857
83,7,0.008
84,3,0.0034285714285714284
85,7,0.008
86,2,0.002285714285714286
87,5,0.005714285714285714
88,8,0.009142857142857144
89,5,0.005714285714285714
90,2,0.002285714285714286
91,7,0.008
92,5,0.005714285714285714
93,6,0.006857142857142857
94,4,0.004571428571428572
95,6,0.006857142857142857
96,6,0.006857142857142857
97,3,0.0034285714285714284
98,8,0.009142857142857144
99,9,0.010285714285714285
100,9,0.010285714285714285
101,8,0.009142857142857144
102,5,0.005714285714285714
103,5,0.005714285714285714
104,9,0.010285714285714285
105,5,0.005714285714285714
106,14,0.016
107,8,0.009142857142857144
108,10,0.011428571428571429
109,5,0.005714285714285714
110,12,0.013714285714285714
111,10,0.011428571428571429
112,10,0.011428571428571429
113,11,0.012571428571428572
114,14,0.016
115,7,0.008
116,12,0.013714285714285714
117,9,0.010285714285714285
118,14,0.016
119,15,0.017142857142857144
120,21,0.024
121,11,0.012571428571428572
122,8,0.009142857142857144
123,14,0.016
124,11,0.012571428571428572
125,9,0.010285714285714285
126,14,0.016
127,11,0.012571428571428572
128,17,0.019428571428571427
129,14,0.016
130,8,0.009142857142857144
131,6,0.006857142857142857
132,11,0.012571428571428572
133,15,0.017142857142857144
134,4,0.004571428571428572
135,10,0.011428571428571429
136,9,0.010285714285714285
137,11,0.012571428571428572
138,6,0.006857142857142857
139,15,0.017142857142857144
140,14,0.016
141,8,0.009142857142857144
142,9,0.010285714285714285
143,9,0.010285714285714285
144,10,0.011428571428571429
145,13,0.014857142857142857
146,11,0.012571428571428572
147,5,0.005714285714285714
148,9,0.010285714285714285
149,8,0.009142857142857144
150,7,0.008
151,4,0.004571428571428572
152,11,0.012571428571428572
153,6,0.006857142857142857
154,14,0.016
155,5,0.005714285714285714
156,10,0.011428571428571429
157,5,0.005714285714285714
158,8,0.009142857142857144
159,5,0.005714285714285714
160,8,0.009142857142857144
161,4,0.004571428571428572
162,4,0.004571428571428572
163,4,0.004571428571428572
164,8,0.009142857142857144
165,9,0.010285714285714285
166,2,0.002285714285714286
167,6,0.006857142857142857
168,4,0.004571428571428572
169,6,0.006857142857142857
170,6,0.006857142857142857
171,6,0.006857142857142857
173,1,0.001142857142857143
175,3,0.0034285714285714284
176,5,0.005714285714285714
177,4,0.004571428571428572
178,2,0.002285714285714286
179,2,0.002285714285714286
180,5,0.005714285714285714
181,1,0.001142857142857143
182,4,0.004571428571428572
183,1,0.001142857142857143
184,2,0.002285714285714286
186,3,0.0034285714285714284
187,3,0.0034285714285714284
188,1,0.001142857142857143
189,1,0.001142857142857143
190,1,0.001142857142857143
191,1,0.001142857142857143
192,2,0.002285714285714286
193,2,0.002285714285714286
194,2,0.002285714285714286
195,1,0.001142857142857143
197,2,0.002285714285714286
199,2,0.002285714285714286
201,2,0.002285714285714286
204,1,0.001142857142857143
213,1,0.001142857142857143
